Gene Symbol	Name	Chromosome	Start	End
ALK	anaplastic lymphoma kinase (Ki-1)	chr2	29192774	29921566
BCL11A	B-cell CLL/lymphoma 11A	chr2	60457192	60555154
DCTN1	dynactin 1	chr2	74361154	74380355
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	chr2	25227855	25342590
EML4	echinoderm microtubule associated protein like 4	chr2	42169350	42332548
EPAS1	endothelial PAS domain protein 1	chr2	46297402	46386703
FBXO11	F-box protein 11	chr2	47806920	47905793
MSH2	mutS homolog 2 (E. coli)	chr2	47402969	47483228
MSH6	mutS homolog 6 (E. coli)	chr2	47783082	47810101
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	chr2	15940564	15947007
NCOA1	nuclear receptor coactivator 1	chr2	24491932	24770702
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	chr2	60881521	60931610
STRN	striatin, calmodulin binding protein	chr2	36843640	36966472
WDCP	chromosome 2 open reading frame 44	chr2	24029340	24047353
XPO1	exportin 1 (CRM1 homolog, yeast)	chr2	61477849	61538283
