Gene Symbol	Name	Chromosome	Start	End
ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	chr17	81977550	82017404
AXIN2	axin 2	chr17	65528563	65561647
BRCA1	familial breast/ovarian cancer gene 1	chr17	43044295	43125483
BRIP1	BRCA1 interacting protein C-terminal helicase 1	chr17	61681266	61863521
CANT1	calcium activated nucleotidase 1	chr17	78991717	79009817
CD79B	CD79b molecule, immunoglobulin-associated beta	chr17	63928740	63932336
CDK12	cyclin-dependent kinase 12	chr17	39462039	39535146
CLTC	clathrin, heavy polypeptide (Hc)	chr17	59619689	59696956
COL1A1	collagen, type I, alpha 1	chr17	50183289	50201632
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	chr17	64499616	64506521
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	chr17	39700080	39728662
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	chr17	43527844	43546432
H3F3B	H3 histone, family 3B (H3.3B)	chr17	75776434	75779779
HLF	hepatic leukemia factor	chr17	55265012	55325065
LASP1	LIM and SH3 protein 1	chr17	38869859	38921770
MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)	chr17	38705542	38729803
MSI2	musashi homolog 2 (Drosophila)	chr17	57256534	57684685
NF1	neurofibromatosis type 1 gene	chr17	31094927	31377677
PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	chr17	60600183	60666280
PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	chr17	68512379	68533423
RARA	retinoic acid receptor, alpha	chr17	40309194	40356796
RNF213	ring finger protein 213	chr17	80260868	80398786
RNF43	ring finger protein 43	chr17	58353676	58417533
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	chr17	40624962	40648864
SPOP	speckle type POZ protein	chr17	49598884	49678110
SRSF2	serine/arginine-rich splicing factor 2	chr17	76734115	76737333
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	chr17	42313324	42388568
STAT5B	signal transducer and activator of transcription 5B	chr17	42199168	42276406
SUZ12	suppressor of zeste 12 homolog (Drosophila)	chr17	31937018	32001045
TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	chr17	35809455	35847242
