Gene Symbol	Name	Chromosome	Start	End
ATR	ATR serine/threonine kinase	chr3	142449237	142578826
BCL6	B-cell CLL/lymphoma 6	chr3	187721377	187745727
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	chr3	105655461	105869043
CNBP	CCHC-type zinc finger, nucleic acid binding protein	chr3	129170102	129183910
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	chr3	186783547	186789900
ETV5	ets variant gene 5	chr3	186046308	186109112
FOXL2	forkhead box L2	chr3	138944224	138947140
GATA2	GATA binding protein 2	chr3	128479427	128493185
LPP	LIM domain containing preferred translocation partner in lipoma	chr3	188212933	188890671
MAP3K13	mitogen-activated protein kinase kinase kinase 13	chr3	185363120	185489097
MECOM	MDS1 and EVI1 complex locus	chr3	169083499	169146305
MLF1	myeloid leukemia factor 1	chr3	158582835	158606459
PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	chr3	179148523	179240093
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	chr3	138652699	138759359
POLQ	DNA polymerase theta	chr3	121431431	121546006
RPN1	ribophorin I	chr3	128619970	128650849
SOX2	SRY (sex determining region Y)-box 2	chr3	181711924	181714436
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	chr3	177019355	177196478
TFG	TRK-fused gene	chr3	100709425	100748966
TP63	tumor protein p63	chr3	189631427	189897279
WWTR1	WW domain containing transcription regulator 1	chr3	149517235	149703273
