Gene Symbol	Name	Chromosome	Start	End
AXIN1	axin 1	chr16	287440	352659
CIITA	class II, major histocompatibility complex, transactivator	chr16	10877198	10924983
CREBBP	CREB binding protein (CBP)	chr16	3725054	3880726
ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	chr16	13920157	13952345
FUS	fusion, derived from t(12;16) malignant liposarcoma	chr16	31180110	31194871
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	chr16	9753404	10182754
IL21R	interleukin 21 receptor	chr16	27402162	27452042
MYH11	myosin, heavy polypeptide 11, smooth muscle	chr16	15703172	15857011
PALB2	partner and localizer of BRCA2	chr16	23603170	23641310
RMI2	RecQ mediated genome instability 2	chr16	11345431	11351762
SOCS1	suppressor of cytokine signaling 1	chr16	11254417	11256200
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	chr16	11965107	11968068
TRAF7	tumour necrosis factor receptor-associated factor 7	chr16	2155765	2178129
TSC2	tuberous sclerosis 2 gene	chr16	2047465	2088720
