Gene Symbol	Name	Chromosome	Start	End
AFDN	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)	chr6	167827635	167970232
ARID1B	AT rich interactive domain 1B	chr6	156777374	157210779
ESR1	estrogen receptor 1	chr6	151690496	152103274
EZR	ezrin	chr6	158765748	158819412
FGFR1OP	FGFR1 oncogene partner (FOP)	chr6	166999182	167052713
FOXO3	forkhead box O3	chr6	108560866	108684768
GOPC	golgi associated PDZ and coiled-coil motif containing	chr6	117560269	117602364
LATS1	large tumor suppressor kinase 1	chr6	149658153	149718256
MYB	v-myb myeloblastosis viral oncogene homolog	chr6	135181315	135219167
PRDM1	PR domain containing 1, with ZNF domain	chr6	106086320	106109938
PTPRK	protein tyrosine phosphatase, receptor type, K	chr6	127968977	128520476
QKI	QKI, KH domain containing, RNA binding	chr6	163414643	163578596
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	chr6	117288300	117425855
RSPO3	R-spondin 3	chr6	127118604	127197296
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	chr6	137867188	137883311
