Gene Symbol	Name	Chromosome	Start	End
ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	chr1	179099327	179229601
ARNT	aryl hydrocarbon receptor nuclear translocator	chr1	150809705	150876768
BCL9	B-cell CLL/lymphoma 9	chr1	147541412	147626216
CDC73	cell division cycle 73	chr1	193122017	193253901
DDR2	discoidin domain receptor 2	chr1	162632465	162787400
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	chr1	205607943	205631962
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor for (CD32)	chr1	161663161	161678654
FCRL4	Fc receptor-like 4	chr1	157573749	157598080
FH	fumarate hydratase	chr1	241497603	241519761
H3F3A	H3 histone, family 3A	chr1	226063977	226072001
LMNA	lamin A/C	chr1	156114707	156140089
MDM4	Mdm4 p53 binding protein homolog	chr1	204516383	204558120
MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	chr1	151057758	151068497
MUC1	mucin 1, transmembrane	chr1	155185826	155192915
NTRK1	neurotrophic tyrosine kinase, receptor, type 1	chr1	156860894	156881642
PBX1	pre-B-cell leukemia transcription factor 1	chr1	164559635	164851831
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	chr1	148889463	149033016
PRCC	papillary renal cell carcinoma (translocation-associated)	chr1	156767500	156800817
PRRX1	paired related homeobox 1	chr1	170663906	170739419
PTPRC	protein tyrosine phosphatase, receptor type, C	chr1	198639007	198757476
SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	chr1	161314257	161375340
SLC45A3	solute carrier family 45, member 3	chr1	205657851	205680459
TPM3	tropomyosin 3	chr1	154167465	154192211
TPR	translocated promoter region	chr1	186311652	186375325
