Gene Symbol	Name	Chromosome	Start	End
AKT1	v-akt murine thymoma viral oncogene homolog 1	chr14	104769349	104794124
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	chr14	99169287	99271228
CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	chr14	20311368	20333312
DICER1	dicer 1, ribonuclease type III	chr14	95086228	95158010
FOXA1	forkhead box A1	chr14	37589984	37595034
GOLGA5	golgi autoantigen, golgin subfamily a, 5  (PTC5)	chr14	92794231	92839963
GPHN	gephyrin (GPH)	chr14	66507407	67181803
HIF1A	hypoxia inducible factor 1 alpha subunit	chr14	61697622	61748259
HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	chr14	102081049	102139686
KTN1	kinectin 1 (kinesin receptor)	chr14	55580317	55684579
MAX	Myc associated factor X	chr14	65075544	65102470
NIN	ninein (GSK3B interacting protein)	chr14	50725840	50831121
NKX2-1	NK2 homeobox 1	chr14	36516392	36520228
RAD51B	RAD51 paralog B	chr14	67819779	68611565
SIX1	SIX homeobox 1	chr14	60643415	60649462
TCL1A	T-cell leukemia/lymphoma 1A	chr14	95709968	95714196
TRIP11	thyroid hormone receptor interactor 11	chr14	91965991	92040059
TSHR	thyroid stimulating hormone receptor	chr14	80955043	81146302
