Gene Symbol	Name	Chromosome	Start	End
ASXL1	additional sex combs like 1	chr20	32358330	32439319
GNAS	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1	chr20	58852714	58911192
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	chr20	40685848	40689240
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	chr20	51386957	51542719
PLCG1	phospholipase C, gamma 1	chr20	41136960	41175721
PTK6	protein tyrosine kinase 6	chr20	63528001	63537354
PTPRT	protein tyrosine phosphatase, receptor type T	chr20	42072752	43189969
SALL4	spalt like transcription factor 4	chr20	51782331	51802520
SDC4	syndecan 4	chr20	45325288	45348424
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	chr20	37346154	37406050
SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	chr20	62143795	62182484
TOP1	topoisomerase (DNA) I	chr20	41028818	41124487
