Gene Symbol	Name	Chromosome	Start	End
BRAF	v-raf murine sarcoma viral oncogene homolog B1	chr7	140730665	140924928
CDK6	cyclin-dependent kinase 6	chr7	92604921	92833917
CREB3L2	cAMP responsive element binding protein 3-like 2	chr7	137874979	138002057
CUX1	cut-like homeobox 1	chr7	101816011	102258233
EZH2	enhancer of zeste homolog 2	chr7	148807385	148884278
HIP1	huntingtin interacting protein 1	chr7	75533300	75738947
KMT2C	lysine (K)-specific methyltransferase 2C	chr7	152134925	152436005
MET	met proto-oncogene (hepatocyte growth factor receptor)	chr7	116672405	116796342
POT1	protection of telomeres 1	chr7	124822386	124929981
SBDS	Shwachman-Bodian-Diamond syndrome protein	chr7	66987677	66995601
SMO	smoothened homolog (Drosophila)	chr7	129188872	129213545
SND1	staphylococcal nuclease and tudor domain containing 1	chr7	127652180	128092607
TRIM24	tripartite motif containing 24	chr7	138460334	138589993
TRRAP	transformation/transcription domain-associated protein	chr7	98878490	99013243
